sample,v1_lineages,v2_lineages,v1_dominant,v2_dominant,dominant_match,v1_dominant_abundance,v2_dominant_abundance,jaccard_similarity
20250827.113686_S91,21,21,XFG.2,XFG.2,True,0.242424,0.2424225,1.0
20250828.111209_S108,9,9,XFG.3.4.1,XFG.3.4.1,True,0.3975842,0.39758378,1.0
20250828.111227_S109,16,16,XFG.2,XFG.2,True,0.157674,0.15767354,1.0
20250828.112496_S115,7,7,XFG.5.1,XFG.5.1,True,0.31567695,0.31567082,1.0
20250828.112968_S106,11,11,XFG.22.1,XFG.22.1,True,0.341003,0.34100308,1.0
20250828.113189_S107,11,11,XFG.4.1,XFG.4.1,True,0.09961887,0.09961684,1.0
20250828.113241_S112,11,11,LR.1,LR.1,True,0.1935923,0.19357523,1.0
20250828.113655_S90,15,15,XFG.3.4.1,XFG.3.4.1,True,0.44113599,0.4411325,1.0
20250831.113400_S44,16,16,XFG,XFG,True,0.2243393,0.22433823,1.0
20250831.113647_S46,5,5,XFG.3,XFG.3,True,0.43088838,0.4308847,1.0
20250831.113661_S45,7,7,XFG.3.4,XFG.3.4,True,0.55200913,0.55200916,1.0
20250901.111718_S12,14,14,XFG.3.1,XFG.3.1,True,0.19324565,0.19324477,1.0
20250901.111729_S3,12,12,XFG.4,XFG.4,True,0.295601,0.29560071,1.0
20250901.112375_S11,2,2,XFG.2,XFG.2,True,0.92534869,0.92534757,1.0
20250901.112645_S19,4,4,XFG,XFG,True,0.36313303,0.36313226,1.0
20250901.112701_S5,5,5,XFG.6.1,XFG.6.1,True,0.51118799,0.51117829,1.0
20250902.109883_S38,4,4,XFG.3.5,XFG.3.5,True,0.76784805,0.76784505,1.0
20250902.110777_S8,9,9,XFG.2,XFG.2,True,0.39277358,0.39277345,1.0
20250902.111273_S1,14,14,XFG.3.4.2,XFG.3.4.2,True,0.256454,0.256454,1.0
20250902.111280_S6,6,6,XFG.3.1.2,XFG.3.1.2,True,0.27421563,0.27421593,1.0
20250902.111364_S20,10,10,XFG.3.4,XFG.3.4,True,0.24517959,0.24517936,1.0
20250902.111541_S4,5,5,XFG.3,XFG.3,True,0.29755922,0.29757778,1.0
20250902.111691_S18,25,25,JN.1.40,JN.1.40,True,0.32912379,0.32910477,1.0
20250902.111722_S7,1,1,XFG.2,XFG.2,True,0.998226,0.99822517,1.0
20250902.112204_S26,6,6,XFG.3.9,XFG.3.9,True,0.526507,0.52650716,1.0
20250902.112306_S31,16,16,XFG.3.4.1,XFG.3.4.1,True,0.292364,0.29235775,1.0
20250902.112322_S2,5,5,XFG.29,XFG.29,True,0.67621692,0.67631783,1.0
20250902.112373_S22,1,1,B.1.1.529,B.1.1.529,True,0.99955177,0.99959324,1.0
20250902.112482_S16,3,3,XFG.2.3.1,XFG.2.3.1,True,0.33293133,0.3327389,1.0
20250902.112492_S23,4,4,XFG.3.5,XFG.3.12,False,0.24987953,0.24985829,1.0
20250902.112904_S21,9,9,XFG.2,XFG.2,True,0.21173695,0.2117369,1.0
20250902.112998_S25,8,8,QC.1,QC.1,True,0.35827123,0.35827255,1.0
20250902.113117_S10,7,7,XFG.9,XFG.9,True,0.34754724,0.34754411,1.0
20250902.113140_S9,14,14,XFG.3.4,XFG.3.4,True,0.27182015,0.2718327,1.0
20250902.113166_S24,5,5,XFG.4,XFG.4,True,0.5744682,0.57445401,1.0
20250902.113244_S13,7,7,XFG,XFG,True,0.32330031,0.32330576,1.0
20250903.111316_S17,9,9,XFG.3.1,XFG.3.1,True,0.27618162,0.27618126,1.0
20250903.112078_S40,16,16,XFG.3,XFG.3,True,0.17584291,0.17584049,1.0
